ID,Authors,Title
191,['Zhi Pan'],Script Identification in the Wild with FFT-Multi-Grained Mix Attention Transformer
199,"['Hongxi Wei', 'Yu Li', 'Shiwen Sun']",LABT: A Sequence-to-Sequence Model for Mongolian Handwritten Text Recognition with Local Aggregation BiLSTM and Transformer
201,"['Roi Pony', 'Ahmed Nassar', 'Foad Abo Dahood', 'Ophir Azulai', 'Inbar Shapira', 'Idan Friedman', 'Christoph Auer', 'Maksym Lysak', 'Yevgeny Yaroker', 'Nadav Rubinstein', 'Peter Staar', 'Udi Barzelay', 'Oshri Naparstek', 'Nikolaos Livathinos', 'Orit Prince', 'Elad Amrani', 'Yevgeny Burshtein']",KVPk : A Comprehensive Dataset for Key-Value Pair Extraction in Business Documents
202,"['Muhammad Shahzad Younis', 'Maham Jahangir', 'Azka Basit', 'Faisal Shafait']",PCA-Based Adversarial Attacks on Signature Verification Systems
204,"['Muhammad Zeshan Afzal', 'Muhammad Saif Ullah Khan', 'Sankalp Sinha', 'Didier Stricker', 'Talha Uddin Sheikh']",CICA: Content-Injected Contrastive Alignment for Zero-Shot Document Image Classification
205,"['Darko Obradovic', 'Marcel Lamott', 'Faisal Shafait', 'Yves - Noel Weweler', 'Dirk Krechel', 'Adrian Ulges']",LAPDoc: Layout-Aware Prompting for Documents
210,"['Seif Edinne Laatiri', 'Wiam Adnan', 'Laurent Lam', 'Fabien Caspani', 'Joel Tang', 'Yassine Bel Khayat Zouggari']",A LayoutLMv-Based Model for Enhanced Relation Extraction in Visually-Rich Documents
211,"['Dimosthenis Karatzas', 'Amelia Gómez Grabowska', 'Jerod Weinman']",Counting the Corner Cases: Revisiting Robust Reading Challenge Data Sets Evaluation Protocols and Metrics
213,"['Andreas Dengel', 'Sheraz Ahmed', 'Syed Jawwad Haider Hamdani', 'Saifullah Saifullah', 'Stefan Agne']",Latent Diffusion for Guided Document Table Generation
215,"['Hamza Gbada', 'Mohamed Ali Mahjoub', 'Karim Kalti']",Information Extraction from Visually Rich Documents using Directed Weighted Graph Neural Network
216,"['Qiufeng Wang', 'Weiguang Zhang', 'Xiaomeng Gu', 'Fengjun Guo', 'Kaizhu Huang']",Coarse-to-Fine Document Image Registration for Dewarping
218,"['Alexander Gayer', 'Vladimir V. Arlazarov', 'Daria Ershova', 'Alexander Sheshkus']",An Ultra-Lightweight Approach for Machine Readable Zone Detection via Semantic Segmentation and Fast Hough Transform
221,"['Tim Raven', 'Arthur Matei', 'Gernot A', 'Fink']",Self-Supervised Vision Transformers for Writer Retrieval
229,"['Qiu - Feng Wang', 'Yan - Ming Zhang', 'Yijie Hu', 'Kaizhu Huang']",Class Incremental Learning for Character String Recognition
232,"['Boraq Madi', 'Reem Alaasam', 'Jihad El - Sana']",Text Enhancement for Historical Handwritten Documents
237,"['Xinhong Chen', 'Dezhi Peng', 'Chongyu Liu', 'Chenfan Qu', 'Bangdong Chen', 'Lianwen Jin']",DTSM: Toward Dense Table Structure Recognition with Text Query Encoder and Adjacent Feature Aggregator
238,"['Jianing Zhang', 'Tong Zhang', 'Rong Yan']",Synergistic Diverse Perspective for Topic Evolution Analysis on Weibo
239,"['David Doermann', 'Bikhyat Adhikari', 'Mahesh Bhosale', 'Jay Lal', 'Pengyu Yan']",ChartReformer: Natural Language-Driven Chart Image Editing
243,"['Ajoy Mondal', 'C V Jawahar', 'Krishna Tulsyan']",Indic Scene Text on the Roadside
244,"['Tony Martinez', 'Taylor Archibald']",DELINEK: A Synthetic Data Pipeline for the Semantic Segmentation of Historical Documents
245,"['Deepak Prakash', 'Shubham Sharma', 'Raghvendra Kumar', 'Sriparna Saha']",IndicBART alongside Visual Element: Multimodal Summarization in Diverse Indian Languages
249,"['Shuo Zhang', 'Zhang Li', 'Biao Yang', 'Xiang Bai', 'Zhiyin Ma', 'Yuliang Liu']",Exploring the Capabilities of Large Multimodal Models on Dense Text
255,"['Shumpei Takezaki', 'Daichi Haraguchi', 'Seiichi Uchida', 'Sho Shimotsumagari']",Cross-Domain Image Conversion by CycleDM
257,"['Mohammad Reza Soheili', 'Mohammad Minouei', 'Didier Stricker']",Embedding Layout in Text for Document Understanding Using Large Language Models
260,"['Ahana Kundu', 'Ujjwal Bhattacharya']",YOLO Assisted A Algorithm for Robust Line Segmentation of Degraded Document Images
266,"['Dimosthenis Karatzas', 'Emanuele Vivoli', 'Ernest Valveny Llobet', 'Joan Lafuente Baeza']",Multimodal Transformer for Comics Text-Cloze
270,"['Jacob Murel', 'David Smith']",Self-training and Active Learning with Pseudo-Relevance Feedback for Handwriting Detection in Historical Print
